"AAPL","ADBE","AMZN","FB","GOOG","^GSPC"
112.140007,103.480003,753.669983,116.860001,786.140015,2257.830078
112.014503,104.139999,757.179993,118.690002,786.900024,2270.75
112.584129,105.910004,780.450012,120.669998,794.02002,2269
113.839249,108.300003,795.98999,123.410004,806.150024,2276.97998
114.88195,108.57,796.919983,124.900002,806.650024,2268.899902
114.997818,108.260002,795.900024,124.349998,804.789978,2268.899902
115.615723,108.989998,799.02002,126.089996,807.909973,2275.320068
115.132988,108.589996,813.640015,126.620003,806.359985,2270.439941
114.930237,108.529999,817.140015,128.339996,807.880005,2274.639893
115.857086,108,809.719971,127.870003,804.609985,2267.889893
115.847435,108.790001,807.47998,127.919998,806.070007,2271.889893
115.644691,109.790001,809.039978,127.550003,802.174988,2263.689941
115.857086,110.709999,808.330017,127.040001,805.02002,2271.310059
115.934326,110.970001,817.880005,128.929993,819.309998,2265.199951
115.828125,113.720001,822.440002,129.369995,823.869995,2280.070068
117.672188,114.25,836.52002,131.479996,835.669983,2298.370117
117.730118,112.879997,839.150024,132.779999,832.150024,2296.679932
117.739769,113.989998,835.77002,132.179993,823.309998,2294.689941
117.430817,113.82,830.380005,130.979996,802.320007,2280.899902
117.160492,113.379997,823.47998,130.320007,796.789978,2278.870117
124.305,113.360001,832.349976,133.229996,795.695007,2279.550049
124.092606,113.160004,839.950012,130.839996,798.530029,2280.850098
124.623619,115.169998,810.200012,130.979996,801.48999,2297.419922
125.79184,114.459999,807.640015,132.059998,801.340027,2292.560059
126.989029,114.959999,812.5,131.839996,806.969971,2293.080078
127.481415,116.129997,819.710022,134.199997,808.380005,2294.669922
128.402603,116.440002,821.359985,134.139999,809.559998,2307.870117
128.11171,116.849998,827.460022,134.190002,813.669983,2316.100098
129.246201,117.650002,836.530029,134.050003,819.23999,2328.25
130.923721,117.580002,836.390015,133.850006,820.450012,2337.580078
131.398834,118.730003,842.700012,133.440002,818.97998,2349.25
131.243729,118.93,844.140015,133.839996,824.159973,2347.219971
131.602493,119.669998,845.070007,133.529999,828.070007,2351.159912
132.55275,119.629997,856.440002,133.720001,831.659973,2365.379883
132.950317,119.470001,855.609985,136.119995,830.76001,2362.820068
132.387909,118.830002,852.190002,135.360001,831.330017,2363.810059
132.513962,119.309998,845.23999,135.440002,828.640015,2367.340088
132.775772,118.779999,848.640015,136.410004,829.280029,2369.75
132.833969,118.339996,845.039978,135.539993,823.210022,2363.639893
135.548996,120.349998,853.080017,137.419998,835.23999,2395.959961
134.744186,119.900002,848.909973,136.759995,830.630005,2381.919922
135.539307,120.040001,849.880005,137.169998,829.080017,2383.120117
135.112656,120.150002,846.609985,137.419998,827.780029,2375.310059
135.287201,119.980003,846.02002,137.300003,831.909973,2368.389893
134.782974,119.599998,850.5,137.720001,835.369995,2362.97998
134.472672,119.910004,853,138.240005,838.679993,2364.870117
134.918732,121.089996,852.460022,138.789993,843.25,2372.600098
134.976898,121.800003,854.590027,139.600006,845.539978,2373.469971
134.773285,121.440002,852.530029,139.320007,845.619995,2365.449951
136.198685,122.110001,852.969971,139.720001,847.200012,2385.26001
136.421692,122.349998,853.419983,139.990005,848.780029,2381.379883
135.74295,127.010002,852.309998,139.839996,852.119995,2378.25
137.168365,126.309998,856.969971,139.940002,848.400024,2373.469971
135.597504,125.07,843.200012,138.509995,830.460022,2344.02002
137.129562,126.209999,848.059998,139.589996,829.590027,2348.449951
136.644714,126.870003,847.380005,139.529999,817.580017,2345.959961
136.37323,127.699997,845.609985,140.339996,814.429993,2343.97998
136.605957,128.25,846.820007,140.320007,819.51001,2341.590088
139.437347,128.690002,856,141.759995,820.919983,2358.570068
139.74765,129.580002,874.320007,142.649994,831.409973,2361.129883
139.563416,129.610001,876.340027,142.410004,831.5,2368.060059
139.301605,130.130005,886.539978,142.050003,829.559998,2362.719971
139.340393,129.589996,891.51001,142.279999,838.549988,2358.840088
140.37793,130.039993,906.830017,141.729996,834.570007,2360.159912
139.650681,129.889999,909.280029,141.850006,831.409973,2352.949951
139.301605,130.149994,898.280029,141.169998,827.880005,2357.48999
138.991318,130.220001,894.880005,140.779999,824.669983,2355.540039
138.826462,130.160004,907.039978,141.039993,824.72998,2357.159912
137.333206,129.949997,902.359985,139.919998,823.349976,2353.780029
137.498032,129.380005,896.22998,139.580002,824.320007,2344.929932
136.770782,129.050003,884.669983,139.389999,823.559998,2328.949951
137.52713,129.990005,901.98999,141.419998,837.169983,2349.01001
136.916229,129.809998,903.780029,140.960007,836.820007,2342.189941
136.412003,130.220001,899.200012,142.270004,838.210022,2338.169922
138.118622,131.419998,902.059998,143.800003,841.650024,2355.840088
137.953781,131.520004,898.530029,143.679993,843.190002,2348.689941
139.282196,132.889999,907.409973,145.470001,862.76001,2374.149902
140.145187,133.490005,907.619995,146.490005,872.299988,2388.610107
139.320984,132.789993,909.289978,146.559998,871.72998,2387.449951
139.427643,133.380005,918.380005,147.699997,874.25,2388.77002
139.291885,133.740005,924.98999,150.25,905.960022,2384.199951
142.132996,135.110001,948.22998,152.460007,912.570007,2388.330078
143.034805,135,946.940002,152.779999,916.440002,2391.169922
142.59845,134.850006,941.030029,151.800003,927.039978,2388.129883
142.084518,134.610001,937.530029,150.850006,931.659973,2389.52002
144.440811,134.839996,934.150024,150.240005,927.130005,2399.290039
148.36792,135.119995,949.039978,151.059998,934.299988,2399.379883
149.318192,135.600006,952.820007,150.479996,932.169983,2396.919922
148.610352,136.149994,948.950012,150.289993,928.780029,2399.629883
149.895569,136.289993,947.619995,150.039993,930.599976,2394.439941
151.988968,136.839996,961.349976,150.330002,932.219971,2390.899902
151.599518,137.600006,957.969971,150.190002,937.080017,2402.320068
151.375549,138.029999,966.070007,149.779999,943,2400.669922
146.29303,134.330002,944.76001,144.850006,919.619995,2357.030029
148.522705,134.539993,958.48999,147.660004,930.23999,2365.719971
149.029007,136.429993,959.840027,148.059998,934.01001,2381.72998
149.93454,138.860001,970.669983,148.240005,941.859985,2394.02002
149.749542,139.520004,971.539978,148.070007,948.820007,2398.419922
149.301636,141.119995,980.349976,150.039993,954.960022,2404.389893
149.817673,142.850006,993.380005,151.960007,969.539978,2415.070068
149.564529,141.889999,995.780029,152.130005,971.469971,2415.820068
149.622955,142.410004,996.700012,152.380005,975.880005,2412.909912
148.736908,141.860001,994.619995,151.460007,964.859985,2411.800049
149.145844,141.380005,995.950012,151.529999,966.950012,2430.060059
151.356079,143.479996,1006.72998,153.610001,975.599976,2439.070068
